C1,C2,C3,C4,C5,C6,C7,C8
Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,symptom,Description,Doctor
Dori allergiyasi,Darhol dorini qabul qilishni to‘xtatish,Eng yaqin shifoxonaga murojaat qilish,Antigistamin dori vositasini ichish,Dori qabul qilishdan oldin har doim vrach bilan maslahatlashish," stomach_pain,  skin_rash,  burning_micturition, itching,  spotting_ urination",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,Immunolog
Bezgak,Isitmani tushirish uchun sovuq kompress yoki paratsetamol qabul qilish ,Shifokorga murojaat qilish va qon testini topshirish ,Tunda moskit to‘rida uxlash,Chivinlarga qarshi spreydan foydalanish," headache,  high_fever,  sweating,  chills,  muscle_pain,  vomiting,  diarrhoea,  nausea",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Yuqumli kasalliklar bo'yicha mutaxassis
Allergiya,Kalaminni qo'llash,Qichishishni kamaytirish uchun muzdan foydalanish,Ta’sirlangan joyni bandaj bilan yopish,Allergiya testidan o‘tish," watering_from_eyes,  chills,  shivering,  continuous_sneezing","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",Immunolog
Gipotiroidizm,Shifokor buyurgan dozada levotiroksin dorisini vaqtida ichish,Temir yoki kaltsiy tabletkasini levotiroksindan kamida 4 soat keyin ichish,Yodga boy mahsulotlarni muntazam iste’mol qilish,Qalqonsimon bezni har 6–12 oyda bir marta tekshirtirib borish," cold_hands_and_feets,  dizziness,  weight_gain,  abnormal_menstruation,  lethargy,  swollen_extremeties,  mood_swings,  enlarged_thyroid,  fatigue,  brittle_nails,  puffy_face_and_eyes,  irritability,  depression","Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",Endokrinolog
Psoriaz,Ta’sirlangan joyga namlovchi krem yoki vazelin surtish,Qichishishni kamaytirish uchun sovuq kompress qo‘yish,Tarkibida S vitamini va Omega-3 bo‘lgan ovqatlar iste’mol qilish,"Stressni boshqarish (meditatsiya, dam olish) bilan shug‘ullanish"," joint_pain,  silver_like_dusting,  skin_rash,  inflammatory_nails,  small_dents_in_nails,  skin_peeling","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",Dermatolog
GERD,Tik yurish (yotmaslik) orqali kislotaning yuqoriga chiqishini kamaytirish,Ko‘tarilgan yostiqda yotish va yotishdan oldin ovqat yemaslik,sog'lom vaznni saqlash,"Achchiq, yog‘li va nordon ovqatlardan uzoq bo‘lish"," stomach_pain,  chest_pain,  cough,  ulcers_on_tongue,  acidity,  vomiting","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",Gastroenterolog
Surunkali xolestaz,Qichishishni yengillashtirish uchun sovuq kompress yoki muzli mato qo‘llash,"Yog‘li ovqatlar va qovurilgan taomlarni to‘liq cheklash, faqat bug‘da yoki qaynatilgan taomlar iste’mol qilish",Safro oqimini tabiiy rag‘batlantirish uchun har kuni limonli iliq suv ichish,E vitamini va D vitaminiga boy mahsulotlarni me’yorda iste’mol qilish," yellowing_of_eyes,  yellowish_skin,  abdominal_pain,  loss_of_appetite, itching,  vomiting,  nausea","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",Gastroenterolog
Gepatit A,Tana haroratini tushirish va ko‘ngil aynishini kamaytirish uchun ko‘proq suyuqlik ichish,Yengil va yog‘siz ovqatlar tanovul qilish,Qo‘lni tez-tez sovunlab yuvish odatini shakllantirish,Toza suv ichish va meva-sabzavotni yaxshilab yuvib iste’mol qilish," dark_urine,  joint_pain,  yellowing_of_eyes,  muscle_pain,  yellowish_skin,  abdominal_pain,  mild_fever,  loss_of_appetite,  vomiting,  diarrhoea,  nausea",Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Yuqumli kasalliklar bo'yicha mutaxassis
Osteoartrit,Og‘rigan bo‘g‘imga issiq kompress qo‘yish,"Harakatni kamaytirmasdan, yengil cho‘ziluvchan mashqlar bajarish",Tana vaznini nazorat qilish orqali bo‘g‘imga tushadigan bosimni kamaytirish,Mushaklarni mustahkamlovchi muntazam jismoniy mashqlar bajarish," knee_pain,  painful_walking,  neck_pain,  joint_pain,  hip_joint_pain,  swelling_joints","Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",Revmatolog
Paroymsal pozitsion vertigo,Boshni yostiqda biroz balandroq qilib uxlash,Boshning keskin harakatlanishidan saqlanish,Tanadagi keskin o'zgarishlardan saqlanish,Dam olish," headache,  loss_of_balance,  unsteadiness,  vomiting,  nausea,  spinning_movements",Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,Otaralingolog
Gipoglikemiya,Darhol 15 g tez so‘riladigan shakar ichish,"10–15 daqiqadan so‘ng ahvol yaxshilansa, oqsil va murakkab uglevodli kichik ovqat yeyish","Ovqatlanishni muntazam qilib, ovqatlarni o‘tkazib yubormaslik odatini shakllantirish","Yurish, sportdan oldin yoki keyin kichik yengil ovqat iste’mol qilishni odat qilish"," headache,  irritability,  palpitations,  blurred_and_distorted_vision,  sweating,  excessive_hunger,  anxiety,  slurred_speech,  fatigue,  vomiting,  nausea,  drying_and_tingling_lips", Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,Endokrinolog
Akne,Yuvilgan yuzga sovuq kompress qo‘llash,"Yuzni yengil, pH balansli gel bilan kuniga ikki marta yuvish",Yuzni qo‘l bilan kamroq ushlash va yostiq jildini haftasiga kamida 2 marta almashtirish,Juda ko'p mahsulotlardan saqlanish (dietali ovqatlanish)," scurring,  skin_rash,  blackheads,  pus_filled_pimples","Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",Dermatolog
Impetigo,Zararlangan joyni iliq suv va yumshoq sovun bilan asta tozalash,"Qo‘llarni tez-tez yuvish, ayniqsa yara bilan aloqadan so‘ng.",Yara ustini toza mato yoki nafas oladigan bandaj bilan yopish,Shifokor bilan maslahatlashish (antibiotik kerak bo'lishi mumkin)," high_fever,  blister,  red_sore_around_nose,  yellow_crust_ooze,  skin_rash","Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",Dermatolog
Peptik yara kasalligi,Og‘riq kuchaygan paytda iliq sut yoki banan iste’mol qilish,"Kuchli achchiq, nordon, qovurilgan ovqatlardan voz kechish",Har 3–4 soatda oz-ozdan ovqatlanish,Kechqurun kechki ovqatdan keyin birdan yotmaslik," passage_of_gases,  internal_itching,  abdominal_pain,  loss_of_appetite,  indigestion,  vomiting","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",Gastroenterolog
Umumiy sovuq,Issiq choy (asal yoki limonli) ichish,Iliq sho‘r suv bilan burunni yuvish,"Ko‘proq suyuqlik ichish (suv, sho‘rva)",Uxlash va immunitetni tiklash," headache,  runny_nose,  high_fever,  continuous_sneezing,  cough,  swelled_lymph_nodes,  redness_of_eyes,  chills,  muscle_pain,  loss_of_smell, malaise,  fatigue,  sinus_pressure,  congestion,  chest_pain,  throat_irritation","The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",Primary Care Physician
Suvchechak,Cho'milishda neemdan foydalanish,Qichishishni kamaytirish uchun muzli mato yoki sovuq kompress qo‘llash,Emlash,Jamoat joylaridan qochish," headache,  high_fever,  swelled_lymph_nodes,  lethargy,  red_spots_over_body,  skin_rash,  mild_fever, itching,  fatigue,  loss_of_appetite,  malaise","Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",Primary Care Physician
Servikal spondiloz,Bo‘yinga issiq kompress qo‘yish,5–10 daqiqa yengil bo‘yin cho‘zish mashqlari bajarish,"Uzoq vaqt bir holatda o‘tirishni cheklash, har 30 daqiqada tanaffus qilish",Yostiq tanlanganda yumshoq va bo‘yinni qo‘llab-quvvatlovchi model ishlatish," dizziness,  neck_pain,  loss_of_balance,  back_pain,  weakness_in_limbs","Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",Revmatolog
Gipertiroidizm,Yurak urishi yoki bezovtalik paytida chuqur nafas mashqlari bajarish,Kofeinli ichimliklar va achchiq ovqatlardan voz kechish,Doimiy uyqu rejimini saqlash,"Yog‘li baliq, B vitaminiga boy ovqatlar bilan ovqatlanish"," restlessness,  abnormal_menstruation,  sweating,  excessive_hunger,  mood_swings,  fast_heart_rate,  fatigue,  muscle_weakness,  weight_loss,  irritability,  diarrhoea","Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",Endokrinolog
Siydik chiqarish yo'llari infektsiyasi,Ko'p suv ichish,C vitamini iste'molini oshirish,Klyukva sharbatini ichish,Probiyotiklarni qabul qilish," bladder_discomfort,  burning_micturition,  foul_smell_of urine,  continuous_feel_of_urine","Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",Urolog
Varikoz tomirlari,"Tekis yotib, oyog'ingizni baland ko'tarish",Malhamlardan foydalanish,Juda tor kiyimlardan voz kechish,Uzoq vaqt bir joyda turmaslik," obesity,  swollen_blood_vessels,  fatigue,  bruising,  prominent_veins_on_calf,  swollen_legs,  cramps","A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",Jarroh
OITS,Imkon qadar infeksiyalardan saqlanish,Toza gigiyenani saqlash,Oqsilga boy va vitaminli ovqatlar bilan sog‘lom ovqatlanish,"Tinchlik, stressni kamaytirish va muntazam uxlash "," extra_marital_contacts,  muscle_wasting,  high_fever,  patches_in_throat","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",Yuqumli kasalliklar bo'yicha mutaxassis
Falaj (miya qon ketishi),Darhol tez yordam chaqirish,Qon bosimini nazorat qilish,Massaj qilish,Chekish va alkogolni butunlay tark etish," vomiting,  headache,  weakness_of_one_body_side,  altered_sensorium","Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.",Nevrolog
Qorin bo'shlig'i,Og‘riq kuchayganda yotib dam olish,Iliq kompress,Shifokor bilan maslahatlashish,Yengil va yumshoq ovqatlar iste’mol qilish," headache,  toxic_look_(typhos),  high_fever,  belly_pain,  chills,  abdominal_pain,  fatigue,  constipation,  vomiting,  diarrhoea,  nausea","An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",Yuqumli kasalliklar bo'yicha mutaxassis
Gepatit B,Yotib dam olish,Yog‘li va qovurilgan ovqatlardan saqlanish,Doimiy va yengil ovqatlanish rejimi saqlash,Spirtli ichimliklardan butunlay voz kechish," dark_urine,  yellowing_of_eyes,  lethargy,  receiving_unsterile_injections,  yellowish_skin,  abdominal_pain,  malaise, itching,  fatigue,  loss_of_appetite,  yellow_urine,  receiving_blood_transfusion","Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",Yuqumli kasalliklar bo'yicha mutaxassis
Qo'ziqorin infektsiyasi,Ta’sirlangan joyni toza va quruq saqlash,Cho'milish suvida detol yoki neemdan foydalanish,Shaxsiy gigiyenaga amal qilish,Toza matolardan foydalanish," dischromic _patches,  nodal_skin_eruptions,  skin_rash, itching","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",Yuqumli kasalliklar bo'yicha mutaxassis
Gepatit C,Jigarni zo‘riqtirmaslik uchun dam olish va jismoniy faoliyatni cheklash,Yog‘li va spirtli ichimliklardan butunlay voz kechish,Sog'lom ovqatlanish,Shifokor bilan maslahatlashish va dori qabul qilish," yellowing_of_eyes,  yellowish_skin,  family_history,  loss_of_appetite,  fatigue,  nausea","Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",Yuqumli kasalliklar bo'yicha mutaxassis
Migren,Meditatsiya,Stressni kamaytirish,Quyoshda poloroid ko'zoynaklardan foydalanish,"Tinch, qorong‘i va sokin xonada dam olish"," headache,  stiff_neck,  blurred_and_distorted_vision,  excessive_hunger,  indigestion,  visual_disturbances,  acidity,  irritability,  depression","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",Nevrolog
Bronxial astma,Xonani tezda shamollatish yoki toza havoga chiqish,Chuqur nafas olish,Allergenlar va changdan uzoq bo'lish,Kundalik nafas mashqlari," high_fever,  cough,  mucoid_sputum,  family_history,  breathlessness,  fatigue","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",Pulmonolog
Alkogolli gepatit,Spirtli ichimliklarni iste'mol qilishni to'xtatish,Shifokor bilan maslahatlashish,Yotib dam olish va jismoniy zo‘riqishni kamaytirish,"Balansli, oson hazm bo‘ladigan ovqatlarni tanlash"," distention_of_abdomen,  swelling_of_stomach,  yellowish_skin,  history_of_alcohol_consumption,  abdominal_pain,  vomiting,  fluid_overload","Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",Gastroenterolog
Sariqlik,Ko'p suv ichish,Sut qushqo'nmasini iste'mol qilish,Meva va yuqori tolali ovqatlar iste'mol qilish,"Yog‘li, qovurilgan ovqatlardan saqlanish"," high_fever,  dark_urine,  yellowish_skin,  abdominal_pain, itching,  fatigue,  weight_loss,  vomiting","Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",Gastroenterolog
Gepatit E,Spirtli ichimliklarni iste'mol qilishni to'xtatish,Dam olish,Yog‘li ovqatlardan saqlanish,"Faqat toza, qaynatilgan suv ichish"," stomach_bleeding,  acute_liver_failure,  high_fever,  joint_pain,  dark_urine,  yellowing_of_eyes,  yellowish_skin,  abdominal_pain,  coma,  fatigue,  loss_of_appetite,  vomiting,  nausea",A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,Yuqumli kasalliklar bo'yicha mutaxassis
Denga,Papayya barglari sharbatini ichish,Yog'li ovqatlardan saqlanish,Chivinlarni uzoqroq tutish,Organizmni mustahkamlovchi ovqatlar yeyish," headache,  high_fever,  joint_pain,  red_spots_over_body,  chills,  muscle_pain,  back_pain,  skin_rash,  pain_behind_the_eyes,  fatigue,  loss_of_appetite,  malaise,  vomiting,  nausea","an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",Yuqumli kasalliklar bo'yicha mutaxassis
Gepatit D,Shifokor bilan maslahatlashish,Spirtli ichimlik va yog‘li ovqatlardan butunlay voz kechish,Sog'lom ovqatlanish,Sog‘lom uyqu va stressni kamaytirish ustida ishlash," dark_urine,  joint_pain,  yellowing_of_eyes,  yellowish_skin,  abdominal_pain,  fatigue,  loss_of_appetite,  vomiting,  nausea","Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",Yuqumli kasalliklar bo'yicha mutaxassis
Yurak xuruji,Tez yordam chaqirish,Aspirinni chaynash yoki yutish,Tinchlik saqlash,Doimiy yurak salomatligi nazorati," breathlessness,  vomiting,  sweating,  chest_pain","The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",Kardiolog
Zotiljam,Yotib dam olish,Ko‘p suyuqlik ichish,Namlik va toza havo bilan ta’minlangan xonada yotish,Sigaret chekishdan saqlanish va changli joylardan uzoq turish," high_fever,  cough,  sweating,  chills,  breathlessness,  phlegm,  fast_heart_rate,  malaise,  fatigue,  rusty_sputum,  chest_pain","Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",Pulmonolog
Artrit,Bo‘g‘imni dam oldirish va zo‘riqtirmaslik,Issiq va sovuq terapiyadan foydalanish,Yengil mashqlar qilish,Sog'lom vaznni saqlash," painful_walking,  movement_stiffness,  stiff_neck,  muscle_weakness,  swelling_joints","Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",Revmatolog
Gastroenterit,Ko‘p miqdorda suv yoki sho‘r ichimlik ichish,Yengil va tez hazm bo‘ladigan ovqatlar iste’mol qilish,Har doim qo‘lni sovun bilan yuvish,Faqat qaynatilgan suv ichish," dehydration,  vomiting,  sunken_eyes,  diarrhoea","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",Yuqumli kasalliklar bo'yicha mutaxassis
Sil kasalligi,Og'izni niqob bilan yopish,Dam olish,Kuniga kamida 1 soat quyosh nuri tushadigan joyda bo‘lish,"To‘yimli, oqsilli ovqatlar iste’mol qilish"," chest_pain,  high_fever,  yellowing_of_eyes,  cough,  sweating,  swelled_lymph_nodes,  chills,  blood_in_sputum,  breathlessness,  phlegm,  mild_fever,  fatigue,  loss_of_appetite,  weight_loss,  malaise,  vomiting","Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",Pulmonolog
Qandli diabet,Tezda oddiy suv ichish va harakatni ko‘paytirish,Shirinlik va un mahsulotlarini darhol to‘xtatish,Har kuni yurish yoki yengil mashq bajarish,Glikemik indeks past bo‘lgan mahsulotlarni tanlash,"frequent_urination, excessive_thirst, fatigue, blurred_vision, slow_healing_wounds, weight_loss, increased_hunger","Diabetes is a chronic condition where the body either doesn’t produce enough insulin or can’t use it effectively, leading to high blood sugar levels.",endokrinolog
Tonsillit (angina),Iliq sho‘r suv bilan tomoqni chayish,Ko‘p suyuqlik ichish va sovuq ovqatlardan saqlanish,"Tana haroratini nazorat qilib, dam olishga e’tibor berish", Immunitetni oshirish uchun vitaminli ovqatlar iste’mol qilish,"sore_throat, difficulty_swallowing, swollen_tonsils, fever, fatigue, bad_breath, swollen_lymph_nodes, headache, hoarseness","Tonsillitis is an infection and inflammation of the tonsils, usually caused by viruses or bacteria. It leads to sore throat, fever, and swollen lymph nodes, and often affects children and teenagers.",Otaralingolog
Bronxit,Iliq suv yoki bug‘ bilan nafas olish,Changli va sovuq joylardan saqlanish, Iliq suyuqliklar ichish odatini saqlash,Sigaret va boshqa havoni ifloslantiruvchilardan uzoq bo‘lish,"cough, chest_pain, phlegm, mild_fever, fatigue, breathlessness, wheezing","Bronchitis is the inflammation of the bronchial tubes that carry air to the lungs. It is usually caused by viruses, bacteria, or exposure to smoke and irritants. It leads to persistent cough, mucus production, and chest discomfort.",pulmonolog
Gipertoniya (yuqori qon bosimi),Tuz iste’molini darhol kamaytirish,"Hozirda stressni kamaytirib, tinch joyda dam olish","Yurish, yengil mashqlarni muntazam bajarish","Mevali-sabzavotli, kam yog‘li ovqatlar bilan ovqatlanish","headache, dizziness, chest_pain, fatigue, nosebleed, blurred_vision, shortness_of_breath","Hypertension is a chronic condition where the blood pressure in the arteries is persistently elevated. Often called a “silent killer,” it can lead to heart disease, stroke, and kidney failure if left uncontrolled.",Kardiolog
Temir tanqisligi anemiyasi,"Temirga boy ovqatlar (qarag‘at, jigar, ismaloq) iste’mol qilish", Temirni yaxshi singdirish uchun C vitamini bilan birga ovqatlanish,"Choy va qahvani ovqat bilan emas, keyin ichishga harakat qilish",Doimiy ravishda qon analizini topshirish va nazoratda bo‘lish,"fatigue, weakness, pale_skin, dizziness, headache, cold_hands_and_feet, brittle_nails, shortness_of_breath","Iron deficiency anemia occurs when the body lacks enough iron to produce hemoglobin, the protein in red blood cells that carries oxygen. It leads to fatigue, weakness, and pale skin, and is common in menstruating women, pregnant individuals, and those with poor diets.",Gemotolog
Gaymarit,Iliq bug‘ bilan burunni yumshatish yoki bug‘li inqalyatsiya qilish,Boshingizni yuqoriga ko‘tarib dam olish va changdan saqlanish, Iliq suyuqliklar ichish va nam muhitda bo‘lishga harakat qilish,Burunni muntazam iliq suv bilan yuvish odatini yaratish,"facial_pain, nasal_congestion, headache, thick_nasal_discharge, fever, toothache, fatigue, reduced_sense_of_smell, cough","Maxillary sinusitis (gaymarit) is the inflammation of the maxillary sinuses, usually caused by infections, allergies, or colds. It leads to facial pain, nasal congestion, and thick mucus discharge. It may be acute or chronic.",Otaralingolog
Rinit,"Burunni sho‘r suv bilan yuvib, ochiqlikni ta’minlash"," Chang, gulchang, va allergenlardan uzoq bo‘lish",Iliq suyuqliklar ichish va havo namligini ushlab turish odatini yaratish," Sovuq havoda og‘iz emas, burun orqali nafas olish","sneezing, runny_nose, nasal_congestion, itchy_nose, mild_fever, watery_eyes, headache","Rhinitis is the inflammation of the mucous membrane inside the nose, commonly caused by viral infections or allergies. It leads to sneezing, nasal congestion, and a runny nose. It may be acute (cold-related) or allergic.",LOR shifokori
Gastrit,Achchiq va nordon ovqatlarni darhol to‘xtatish,Issiq iliq ovqatlarni oz-ozdan tez-tez iste’mol qilish, Oshqozonni og‘irlashtiradigan fast food va gazli ichimliklardan uzoq bo‘lish,Stressdan saqlaning va ovqatlanish vaqtini muntazam qilish,"abdominal_pain, nausea, vomiting, bloating, indigestion, loss_of_appetite, heartburn","Gastritis is the inflammation of the stomach lining, often caused by bacterial infection (like H. pylori), stress, or use of painkillers. It can cause stomach pain, nausea, bloating, and indigestion.",Gastroenterolog
Prostatit,Issiq vanna qabul qilish va orqa-bel sohani tinchlantirish,Ko‘p suv ichish va peshobni ushlab turmaslik, Sovuqda uzoq yurmaslik va nam joydan saqlanish,Qon aylanishini yaxshilash uchun muntazam yurishni odat qilish,"painful_urination, pelvic_pain, frequent_urination, lower_back_pain, painful_ejaculation, fever, chills, fatigue","Prostatitis is the inflammation or infection of the prostate gland, common in men. It can cause painful urination, pelvic discomfort, and sometimes flu-like symptoms. It may be acute or chronic, and is often caused by bacteria or stress-related factors.",Urolog
Gemorroy, Ho‘l salqin mato bilan tozalik qilish va og‘riqni kamaytirish,"Ovqat ratsioniga ko‘proq tolali mahsulotlar (meva, sabzavot) qo‘shish",Ich ketishini yoki qattiq ich kelishini oldini olish uchun ko‘p suv ichish,Uzoq vaqt o‘tirishdan saqlanish va oraliqda harakat qilish,"rectal_pain, anal_itching, rectal_bleeding, swelling_near_anus, discomfort_during_bowel_movements, mucus_discharge","Hemorrhoids are swollen veins in the lower rectum or anus, often caused by straining during bowel movements, chronic constipation, or prolonged sitting. They may be internal or external and can cause pain, itching, and rectal bleeding.",Proktolog
Diareya (Ich ketish),"Ko‘p miqdorda suv va tuzli eritma ichish (masalan, regidron)","Yog‘li, sutli va og‘ir ovqatlardan saqlanish",Toza va qaynatilgan suv ichishni odat qilish,Qo‘lni ovqatdan oldin va hojatdan keyin sovun bilan yuvishni odat qilish,"frequent_loose_stools, abdominal_pain, bloating, nausea, fatigue, dehydration, mild_fever, vomiting","Diarrhea is a condition where a person passes loose or watery stools more frequently than usual. It can be caused by infections (viral, bacterial, or parasitic), contaminated food or water, stress, or certain medications. It may lead to dehydration if not managed properly.",Gastroenterolog
Toshbaqa (Buyrak toshi)," Ko‘p miqdorda toza suv ichish (har kuni kamida 2,5–3 litr)",Tuzli va oqsilga boy ovqatlardan saqlanish,Tana vaznini me’yorda ushlash va harakatsizlikdan saqlanish,Siydikni muntazam chiqarish va ushlab turmaslik odatini shakllantirish,"severe_flank_pain, blood_in_urine, frequent_urination, painful_urination, nausea, vomiting, back_pain, fever_if_infected","Kidney stones are hard deposits of minerals and salts that form inside the kidneys or urinary tract. They can cause severe pain, blood in urine, and difficulty urinating. Dehydration, high salt intake, or genetic factors may contribute to their formation.",Urolog
Gripp,Tana haroratini tushirish uchun dam olish va ko‘p suyuqlik ichish,"Issiq choy, asal, va limonli ichimliklar ichish", Immunitetni mustahkamlovchi vitaminlar (ayniqsa C vitamini) qabul qilish,Sovuq mavsumda niqob taqish va jamoat joylaridan saqlanish,"high_fever, chills, cough, sore_throat, muscle_aches, fatigue, headache, runny_nose","Influenza (flu) is a contagious viral infection that affects the respiratory system. It spreads quickly through droplets and causes symptoms such as fever, chills, body aches, and fatigue. Although it usually resolves in a few days, it can lead to complications in the elderly, young children, or those with weak immunity.",Terapevt (umumiy amaliyot shifokori)